開催日,競馬場,レース番号,レース名,距離,コース,馬場状態,出走頭数,馬番,馬名,騎手
2025-08-30,chukyo,8,3歳以上1勝クラス,2000,芝,良,8,3,オーシンエス,松若
2025-08-30,chukyo,8,3歳以上1勝クラス,2000,芝,良,8,4,ピースヒロフェイス,吉村
2025-08-30,chukyo,8,3歳以上1勝クラス,2000,芝,良,8,5,テンクウハット,太宰
2025-08-30,chukyo,8,3歳以上1勝クラス,2000,芝,良,8,6,グランデスフィーダ,岩田康
2025-08-30,chukyo,8,3歳以上1勝クラス,2000,芝,良,8,7,ジョイエッロ,田口
2025-08-30,chukyo,8,3歳以上1勝クラス,2000,芝,良,8,8,オーサムユニバンス,富田
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,1,ホークマン,国分恭
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,2,チェイスザウェイ,長岡
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,3,ホウショウマリス,小沢
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,4,ランウインディ,国分優
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,5,アネモス,秋山稔
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,6,ミロワール,酒井
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,7,エコロネオ,松若
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,8,タカネノハナコサン,中井
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,9,ストリンジェンド,北村友
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,10,ペプチドシュチク,高倉
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,11,スペシャルナンバー,岩田康
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,12,アスタールフナ,高杉
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,13,アメリカンビキニ,団野
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,14,メイショウヤーキス,菱田
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,15,ヨシノヤッタルデー,角田和
2025-08-30,chukyo,9,清洲特別 [2勝クラス],0,芝,良,16,16,エールレヴリー,富田
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,1,ベルタソ,小崎
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,2,ホウオウサンデー,小沢
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,3,ヨウシタンレイ,松山
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,4,クイックバイオ,酒井
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,5,アドマイヤジェイ,団野
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,6,コト,高杉
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,7,ジオパーククラウン,吉村
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,8,ダノンキラウェア,川田
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,9,スマートルシーダ,松若
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,10,タガノアンファン,菱田
2025-08-30,chukyo,10,桑名特別 [2勝クラス],1400,芝,良,11,11,ケーブパール,北村友
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,1,ハピ,菱田
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,2,マリオロード,岩田康
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,3,サンマルパトロール,酒井
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,4,テーオーパスワード,松山
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,5,リアレスト,吉村
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,6,プリンスミノル,富田
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,7,タイセイドレフォン,田口
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,8,ヴァンヤール,北村友
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,9,タクシンイメル,高倉
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,10,コトホドサヨウニ,川田
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,11,アムールドパリ,小沢
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,12,ザイツィンガー,高杉
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,13,サンデーファンデー,角田和
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,14,ペイシャフラワー,永島
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,15,リチュアル,団野
2025-08-30,chukyo,11,名古屋城S（ハンデ）(15:35発走) [オープン],0,芝,良,16,16,ポッドロゴ,長岡
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,1,タイセイレグノ,高杉
